idx,seed,cosine_similarity_achieved,delta_L2,src_start,src_len,replaced_token_indices,clip_cos_replaced,clip_cos_baseline,img_replaced_path,img_baseline_path
129,72124,0.924330,284.044220,5,1,[5],0.294404,0.256597,/data/pwojcik/UnGuide/random_replacements_cat/idx129_seed72124_cos0.924_clip0.294_ref0.257.png,/data/pwojcik/UnGuide/random_replacements_cat/idx129_seed72124_BASELINE_clip0.257.png
130,72125,0.832395,291.038635,5,1,[5],0.278042,0.277429,/data/pwojcik/UnGuide/random_replacements_cat/idx130_seed72125_cos0.832_clip0.278_ref0.277.png,/data/pwojcik/UnGuide/random_replacements_cat/idx130_seed72125_BASELINE_clip0.277.png
131,72126,0.477593,315.119080,5,1,[5],0.216180,0.265714,/data/pwojcik/UnGuide/random_replacements_cat/idx131_seed72126_cos0.478_clip0.216_ref0.266.png,/data/pwojcik/UnGuide/random_replacements_cat/idx131_seed72126_BASELINE_clip0.266.png
132,72127,0.686889,304.230103,5,1,[5],0.292729,0.272288,/data/pwojcik/UnGuide/random_replacements_cat/idx132_seed72127_cos0.687_clip0.293_ref0.272.png,/data/pwojcik/UnGuide/random_replacements_cat/idx132_seed72127_BASELINE_clip0.272.png
133,72128,0.861428,294.016876,5,1,[5],0.261988,0.274132,/data/pwojcik/UnGuide/random_replacements_cat/idx133_seed72128_cos0.861_clip0.262_ref0.274.png,/data/pwojcik/UnGuide/random_replacements_cat/idx133_seed72128_BASELINE_clip0.274.png
134,72129,0.370697,321.214905,5,1,[5],0.204274,0.275027,/data/pwojcik/UnGuide/random_replacements_cat/idx134_seed72129_cos0.371_clip0.204_ref0.275.png,/data/pwojcik/UnGuide/random_replacements_cat/idx134_seed72129_BASELINE_clip0.275.png
135,72130,0.410335,316.758820,5,1,[5],0.271832,0.280869,/data/pwojcik/UnGuide/random_replacements_cat/idx135_seed72130_cos0.410_clip0.272_ref0.281.png,/data/pwojcik/UnGuide/random_replacements_cat/idx135_seed72130_BASELINE_clip0.281.png
136,72131,0.698547,294.800568,5,1,[5],0.255283,0.280646,/data/pwojcik/UnGuide/random_replacements_cat/idx136_seed72131_cos0.699_clip0.255_ref0.281.png,/data/pwojcik/UnGuide/random_replacements_cat/idx136_seed72131_BASELINE_clip0.281.png
137,72132,0.722881,297.535034,5,1,[5],0.217204,0.267117,/data/pwojcik/UnGuide/random_replacements_cat/idx137_seed72132_cos0.723_clip0.217_ref0.267.png,/data/pwojcik/UnGuide/random_replacements_cat/idx137_seed72132_BASELINE_clip0.267.png
138,72133,0.666032,298.015503,5,1,[5],0.213949,0.290845,/data/pwojcik/UnGuide/random_replacements_cat/idx138_seed72133_cos0.666_clip0.214_ref0.291.png,/data/pwojcik/UnGuide/random_replacements_cat/idx138_seed72133_BASELINE_clip0.291.png
139,72134,0.696112,286.361664,5,1,[5],0.277432,0.261665,/data/pwojcik/UnGuide/random_replacements_cat/idx139_seed72134_cos0.696_clip0.277_ref0.262.png,/data/pwojcik/UnGuide/random_replacements_cat/idx139_seed72134_BASELINE_clip0.262.png
140,72135,0.492952,302.546722,5,1,[5],0.240275,0.277085,/data/pwojcik/UnGuide/random_replacements_cat/idx140_seed72135_cos0.493_clip0.240_ref0.277.png,/data/pwojcik/UnGuide/random_replacements_cat/idx140_seed72135_BASELINE_clip0.277.png
141,72136,0.570593,301.825226,5,1,[5],0.254138,0.280503,/data/pwojcik/UnGuide/random_replacements_cat/idx141_seed72136_cos0.571_clip0.254_ref0.281.png,/data/pwojcik/UnGuide/random_replacements_cat/idx141_seed72136_BASELINE_clip0.281.png
142,72137,0.599150,304.223511,5,1,[5],0.259072,0.274498,/data/pwojcik/UnGuide/random_replacements_cat/idx142_seed72137_cos0.599_clip0.259_ref0.274.png,/data/pwojcik/UnGuide/random_replacements_cat/idx142_seed72137_BASELINE_clip0.274.png
143,72138,0.835934,290.112946,5,1,[5],0.256940,0.270367,/data/pwojcik/UnGuide/random_replacements_cat/idx143_seed72138_cos0.836_clip0.257_ref0.270.png,/data/pwojcik/UnGuide/random_replacements_cat/idx143_seed72138_BASELINE_clip0.270.png
144,72139,0.376068,330.671997,5,1,[5],0.215818,0.269588,/data/pwojcik/UnGuide/random_replacements_cat/idx144_seed72139_cos0.376_clip0.216_ref0.270.png,/data/pwojcik/UnGuide/random_replacements_cat/idx144_seed72139_BASELINE_clip0.270.png
145,72140,0.688904,291.515503,5,1,[5],0.214018,0.289110,/data/pwojcik/UnGuide/random_replacements_cat/idx145_seed72140_cos0.689_clip0.214_ref0.289.png,/data/pwojcik/UnGuide/random_replacements_cat/idx145_seed72140_BASELINE_clip0.289.png
146,72141,0.892651,282.544403,5,1,[5],0.271122,0.295737,/data/pwojcik/UnGuide/random_replacements_cat/idx146_seed72141_cos0.893_clip0.271_ref0.296.png,/data/pwojcik/UnGuide/random_replacements_cat/idx146_seed72141_BASELINE_clip0.296.png
147,72142,0.885159,289.323914,5,1,[5],0.281810,0.260090,/data/pwojcik/UnGuide/random_replacements_cat/idx147_seed72142_cos0.885_clip0.282_ref0.260.png,/data/pwojcik/UnGuide/random_replacements_cat/idx147_seed72142_BASELINE_clip0.260.png
148,72143,0.471249,308.227783,5,1,[5],0.197846,0.281627,/data/pwojcik/UnGuide/random_replacements_cat/idx148_seed72143_cos0.471_clip0.198_ref0.282.png,/data/pwojcik/UnGuide/random_replacements_cat/idx148_seed72143_BASELINE_clip0.282.png
149,72144,0.508144,313.915833,5,1,[5],0.262496,0.269382,/data/pwojcik/UnGuide/random_replacements_cat/idx149_seed72144_cos0.508_clip0.262_ref0.269.png,/data/pwojcik/UnGuide/random_replacements_cat/idx149_seed72144_BASELINE_clip0.269.png
150,72145,0.470770,314.245636,5,1,[5],0.210680,0.276565,/data/pwojcik/UnGuide/random_replacements_cat/idx150_seed72145_cos0.471_clip0.211_ref0.277.png,/data/pwojcik/UnGuide/random_replacements_cat/idx150_seed72145_BASELINE_clip0.277.png
151,72146,0.592876,312.421051,5,1,[5],0.265936,0.274903,/data/pwojcik/UnGuide/random_replacements_cat/idx151_seed72146_cos0.593_clip0.266_ref0.275.png,/data/pwojcik/UnGuide/random_replacements_cat/idx151_seed72146_BASELINE_clip0.275.png
152,72147,0.971406,280.468719,5,1,[5],0.269797,0.276253,/data/pwojcik/UnGuide/random_replacements_cat/idx152_seed72147_cos0.971_clip0.270_ref0.276.png,/data/pwojcik/UnGuide/random_replacements_cat/idx152_seed72147_BASELINE_clip0.276.png
153,72148,0.697391,298.981415,5,1,[5],0.256563,0.280612,/data/pwojcik/UnGuide/random_replacements_cat/idx153_seed72148_cos0.697_clip0.257_ref0.281.png,/data/pwojcik/UnGuide/random_replacements_cat/idx153_seed72148_BASELINE_clip0.281.png
154,72149,0.568518,303.633606,5,1,[5],0.213338,0.279159,/data/pwojcik/UnGuide/random_replacements_cat/idx154_seed72149_cos0.569_clip0.213_ref0.279.png,/data/pwojcik/UnGuide/random_replacements_cat/idx154_seed72149_BASELINE_clip0.279.png
155,72150,0.525781,311.100098,5,1,[5],0.276413,0.280900,/data/pwojcik/UnGuide/random_replacements_cat/idx155_seed72150_cos0.526_clip0.276_ref0.281.png,/data/pwojcik/UnGuide/random_replacements_cat/idx155_seed72150_BASELINE_clip0.281.png
156,72151,0.762768,293.352570,5,1,[5],0.257993,0.279783,/data/pwojcik/UnGuide/random_replacements_cat/idx156_seed72151_cos0.763_clip0.258_ref0.280.png,/data/pwojcik/UnGuide/random_replacements_cat/idx156_seed72151_BASELINE_clip0.280.png
157,72152,0.543813,310.047150,5,1,[5],0.223268,0.252944,/data/pwojcik/UnGuide/random_replacements_cat/idx157_seed72152_cos0.544_clip0.223_ref0.253.png,/data/pwojcik/UnGuide/random_replacements_cat/idx157_seed72152_BASELINE_clip0.253.png
158,72153,0.742644,290.390747,5,1,[5],0.276583,0.275468,/data/pwojcik/UnGuide/random_replacements_cat/idx158_seed72153_cos0.743_clip0.277_ref0.275.png,/data/pwojcik/UnGuide/random_replacements_cat/idx158_seed72153_BASELINE_clip0.275.png
